restaurantLink;restaurant;category;locaition;date;starsValue;text;useful;funny;cool
/biz/taco-taco-south-beach-miami-beach;Taco Taco South Beach;Tacos,Cocktail Bars,Desserts;Miami Beach, FL;May 26, 2022;3;While visiting South beach I stayed at the Redbury Miami Hotel, so almost everyday I had to walk past Taco Taco South Beach. One night on our way out of our hotel we stopped by to get some drinks before we hit the town because we NEEDED to try the place that calls themselves TACO TACO  say it twice because its twice as nice right? We ordered two shots that were complimentary with a yelp checkin (husband and I are both on Yelp) - then we ordered a mojito and margarita and of course if anyone just so happens to mention guacamole, I'm like OKAY YES I'LL TAKE IT! The guacamole, was a not what I expected - It tasted like something I could pick up at the grocery store. Not something freshly made, quite unfortunate but we didn't stop by Taco Taco with food in mind - so no harm no foul. Overall I should have headed the warnings from fellow yelpers about the food. The drinks on the other hand were a strong pour and exactly what we needed. Like many other South Beach locations, during the day and evening you'll have people out front waiving menus in peoples faces = huge turn off for me.;16;6;11
/biz/pizza-bar-collins-ave-miami-beach-2;Pizza Bar Collins Ave;Pizza,Italian;Miami Beach, FL;May 15, 2022;5;SIZE MATTERS.  Best intro right? Well if you pop into Pizza Bar Collins Ave you'll know what I'm talking about. Slices are LARGE here. At first I was skeptical of this location, I passed by it a few times as I strolled through Miami Beach.  When I'm on vacation I typically try to stay away from the things I eat at home and pizza def fits into that bucket. BUT it was lunch time and I was starving after spending hours sitting under the sun at the beach  Pizza bar was a quick walk and a quick eat so I leaned into the Yelp reviews and headed there straight away.  When we entered the pizzeria there was a bit of a line, but it moved fairly quickly and gave me a chance to scan their selection. To be simple we ordered a cheese slice and a pepperoni slice, when we got the actual slices we were shook. The slices were HUGE - luckily my stomach knows no bounds LOL. After that initial visit we popped back in a few times for some late night eats. If you're in the area I'd highly recommend checking this spot out.;22;9;19
/biz/orange-blossom-miami-beach;Orange Blossom;Breakfast & Brunch,Cocktail Bars;Miami Beach, FL;May 9, 2022;5;Based on the rave reviews of Orange Blossom we held this brunch spot out for our last day, knowing we wanted to end our trip with a bang! It's located ever so slightly off the main drag and has a smaller indoor space offering then other breakfast spots we visited. Outdoor patio is a much larger space and has a DJ blasting music. The ambiance whether indoors or outdoors is lovely and vibrant. The staff is extremely friendly and accommodating. The food was delicious - my husband had the two eggs any style (fried eggs always fried LOL) while I had the Nutella French toast. We each had a glass of mimosa to pair with our breakfast which was also light on the orange juice which I prefer. Overall we were very happy with our visit and will be back if we are ever in the area again.;17;5;15
/biz/café-prima-pasta-miami-beach-2;Café Prima Pasta;Italian,Wine Bars,Desserts;Miami Beach, FL;Apr 24, 2022;3;While on vacation a craving for pasta strikes so I head to Yelp and am lead to Café Prima Pasta. Guys, I wanted to like it, I really did - most of the reviews are really glowing so I'm not sure what was going on the night I visited. It was a weekend evening and my husband and I popped in without a reservation, so we expected a wait. What we didn't expect was an attitude from the hostess and overall poor service. We were told it would be a 45 minute wait, fine we headed to the bar and grabbed a drink and chatted through the wait. When we returned to the hostess almost 40 minutes later its like she forgot we were waiting for a table. After a little back and forth we were seated in less then 15 minutes. Once seated we were ready to go, we had already browsed the menu and wanted to get our order in as quick as possible so we can begin to chow down. The waiter slowly made his way to us and took our order, once the food came out we didn't see him again until we had to get up and flag him down to ask for our check. If he had visited our table we would have ordered at least one-two more drinks. Food was okay, my husband and I both got the penne vodka with breaded chicken. The sauce was a little more red then I'm used to and had a more pronounced tomato taste and lacked the creaminess I'm used to.  I would have probably given them 4 stars if it had not been for the lack of service throughout our visit. I understand that restaurants get busy, but it's doesn't mean you can flat out forget about your guests.;14;5;10
/biz/ball-and-chain-miami-2;Ball & Chain;Music Venues,Cocktail Bars,Cuban;Little Havana, Miami;Apr 18, 2022;4;I popped into Ball & Chain in the middle of the day and half expected to see live music and dancing based on all the Yelp reviews, sadly that's for the night owls. The vibe of the establishment is amazing, the bartenders are witty and fun to chat with. The drinks were on point and thankfully they didn't have any one waiving menu's in my face as I walked past / into the establishment. My overall experience was great and I would definitely recommend checking them out as a tourist.;17;5;14
/biz/bodega-taqueria-y-tequila-south-beach-miami-beach;Bodega Taqueria y Tequila South Beach;Bars,Tacos;Miami Beach, FL;Apr 10, 2022;5;Bodega Taqueria y Tequila South Beach is such a gem. At first glance it looks like a trendy taco joint, push open an unlabeled door and boom you're inside of a fairly large speakeasy. The speakeasy is filled with different seating options, a pool table, and large bar. (Every time we visited the pool table always had a group of people playing on it, almost wish they had more then one.) On our trip to Miami we visited Bodega a handful of times - in the afternoons to grab some tacos out front and during the evenings to go into the speakeasy. In terms of food, the tacos are freakin delicious  I was obsessed with the short rib taco. What better to pair your tacos with then a frozen margarita on a hot day? The frozen margs were poured into plastic branded cups.  A lot of people throw those away, but I'm the type of person to bring home those branded cups as souvenirs from my trips (weird, oh well - you should see my cup cabinet haha);19;7;17
/biz/mas-cuba-cafe-and-bar-miami-beach;Mas Cuba Cafe & Bar;Cuban,Cocktail Bars;Miami Beach, FL;Apr 5, 2022;4;While on vacation my husband and I wanted something that was off the beaten path sort of speak  the restaurants and bars on Collins ave can get quite packed and loud - not the ideal place to wind down for the night. Mas Cuba Cafe & Bar was walking distance from our hotel - The Redbury South Beach so it was the perfect spot for us.  The establishment is quite small and narrow its situated right next to an apartment complex so when you're sitting off to the left side of the bar your not quite sure if you're on the right property. On the bright side seating is plenty whether you're indoors or outdoors. The ambiance is laid back and very welcoming. You'll be surrounded by vibrant art on the left side of the bar (outdoor seating) and lots of beautiful plants and trees to the right side (indoor seating). The bartenders were quick, witty, and mixed up some strong cocktails.  Overall, I'm happy that we stumbled upon this gem.;18;7;17
/biz/espanola-way-miami-beach-3;Espanola Way;Local Flavor;Miami Beach, FL;Mar 30, 2022;3;"While on vacation in Miami Beach I was lucky enough to walk through Espanola Way a handful of times. The ""way"" is pedestrian only so you don't run into any traffic involving vehicles, although foot traffic is high with the street being filled to the brim with tourists walking around.  After a dinner at Havana 1957 my husband and I decided to walk the whole street to see what other restaurants / shops were around and were saddened to see that Espanola Way is quite a short walk. What we also noticed is Havana 1957 has a prime location in Espanola Way while other establishments further in try to pick tourists off the street to get them inside. While walking around we constantly had menus shoved in our faces which took away from the old-world charm. It is definitely something to see, but I wouldn't go out of my way just to walk Espanola Way. I'd suggest planning a trip to Havana 1957 or other eateries near and then stroll through.";16;8;13
/biz/havana-1957-cuban-cuisine-espanola-way-miami-beach-8;Havana 1957 Cuban Cuisine - Espanola Way;Cuban,Bars,Breakfast & Brunch;Miami Beach, FL;Mar 24, 2022;5;My husband and I had an AMAZING time at Havana 1957 the food delicious, the ambiance amazing, the music creating such a vibe. I can totally see why people rave about this place whether they be fellow Yelpers or locals. This location like many others in Miami Beach has indoor and outdoor seating. We visited around dinner time and were hoping to get away from heat, even at night the outdoors seemed quite toasty.  To start off we ordered a couple of mojitos, my husband was AMAZED to see that they used real sugar cane as a decorative addition to the drink. He rambled on about his childhood and how his grandmother had them growing in her backyard, from that moment I knew he was hooked and we were in for a treat. As an appetizer we ordered the guacamole which was very tasty and fresh. For Entrees we ordered the ropa vieja which hands down was the BEST I've had - very well seasoned without being overly salty. My husband ordered the Churrasco which he was pleased with. We had no more room for desert, but ordered a few more mojitos while we let the food settle in our bellies before we started to walk back to the hotel. All in all, this is a place is amazin recommend my fellow yelpers check out if they're in the area!;18;8;23
/biz/the-social-club-miami-beach;The Social Club;New American,Breakfast & Brunch,Cocktail Bars;Miami Beach, FL;Mar 17, 2022;5;The Social Club had to have been my FAVORITE spot in Miami Beach it's a must visit. My husband and I decided to test it out for brunch before hitting the beach, wrong move or right move? (bloated but happy which is all that matters) We were seated outside - the vibe was right, everyone was well spaced and were able to soak in a few rays before getting sandy. To start we ordered the $35 bottomless brunch mimosas where you get 4 glasses of juice and a glass of Brut (being bottomless all are refillable during your visit). The juice options all tasted very fresh - my favorite being the peach, but my husband got crafty and started to mix multiple flavors at a time into his mimosas.  After a night of drinking usually I would go for the greasiest option possible , but for some reason I was feeling the complete opposite on the day I visited the Social Club. I ordered a stack of pancakes and a side of fruit (not so exciting I know, but very delicious nonetheless) my husband ordered the surfer combo and I have to say all in all the food, the drinks, the service, the ambiance everything hit the nail on its head. I would definitely come back if I was in the area.;19;11;21
/biz/sweet-liberty-drinks-and-supply-company-miami-beach;Sweet Liberty Drinks & Supply Company;Bars,New American,Venues & Event Spaces;Miami Beach, FL;Mar 9, 2022;4;Sweet Liberty Drinks & Supply Company is a short walk from the Roxbury just about 5 minutes or so depending on your stride and pace (I'm about 5 ft and a slow walker unless I'm hungry then I'll kick it into high gear). The atmosphere is fun and dimly lit. They have string lights and neon lights to brighten the scene, but not much other than that. It's a perfect place to grab some drinks and catch up after a long day on the beach. They have music blasting throughout the establishment and enough room for those brave enough to get up and dance. Cocktails are delicious, strong, and sometimes placed in funny cups. Great place to snap a few photos for my fellow foodies out there. Personally, I didn't really enjoy any of the food choices - however they do offer a range of apps, sides, and desserts.;19;7;19
/biz/the-front-porch-cafe-miami-beach;The Front Porch Cafe;Breakfast & Brunch,American,Southern;Miami Beach, FL;Mar 8, 2022;5;- This review is based off a vacation experience | I don't live in the area or visit frequently, but if I did I would come back to the Front Porch Cafe - The Front Porch Cafe is located off of the main strip of restaurants in Miami Beach and gives your a short break from all of the huba-baba if you know what I mean.  My husband and I visited The Front Porch Cafe a few times on our visit  we went there for breakfast and for drinks. The food was on point and the service was quick and attentive. The seating space was quite large and offered up some outdoor seating that's covered and some that is not with the option of also going into an air conditioned space.;18;4;14
/biz/chopt-creative-salad-co-new-york-45;Chopt Creative Salad Co.;Salad,Vegetarian;Theater District, New York;Feb 26, 2022;2;During a typical work day in New York, when lunch rolls around lines start to form no matter where you are. I eyed Chopt for AWHILE trying to decide if their block long waits would be worth it  eventually I decided to brave the cold and wait. The wait was slow and annoyingly long I had basically wasted my whole lunch break WAITING. When you finally step Inside the scene is chaotic - I ordered the chicken tinga bowl with warm grains (next to the salad/bowls they provide a piece of bread if you request it).  Size of the bowl was not an option, you'll end up with a large amount enough for leftovers for the next day which I guess makes sense based on the price. The bowl itself was nothing special, especially when compared to local favorites like sweet greens, little beet, or even cava. Personally will not be returning, but glad I was able to test out the spot.;18;4;13
/biz/rooftop-at-exchange-place-jersey-city-2;Rooftop at Exchange Place;New American,Cocktail Bars;Jersey City, NJ;Feb 21, 2022;3;Visited the Rooftop at Exchange Place with a small group of friends on a Saturday night, the place was SO crowded. It felt almost as if it was pre-covid times where you had to scope out a seat and move on it as quick as possible, while potential other patrons eyed the same spot. *ready, set, RUN* The ambiance of the rooftop is very trendy with a gorgeous view of the city and Hudson I can totally see why the place draws a crowd. On the rooftop there is a narrow long fire pit that separates the outside portion of the lounge in two, to get a seat near it was almost impossible, but my friend and I were eventually able to grab two spots which allowed our dates to hover near by. The line at the bar is quite long, the drinks a bit pricey though made to perfection.;21;8;16
/biz/kung-fu-tea-montclair;Kung Fu Tea;Bubble Tea,Coffee & Tea,Juice Bars & Smoothies;Montclair, NJ;Feb 13, 2022;5;Kung Fu Tea literally never lets me down - whether I'm visiting their Montclair location or their Fort Lee location, the drinks are always on point. This shop is narrow and a bit tiny, but still offers up some board games and seating for those who are interested. The staff here is super friendly and tend to offer up suggestions for those who are unsure of what to get. Which makes the ordering experience easy and convenient for those who are new to this type of experience. Unlike smaller bubble tea shops the options you get here are AMAZING - extensive toppings, like popping bubbles (my FAVORITE), Fig Jelly, or traditional bubbles to name a few. The ability to customize the level of sweetness in your drink (which is HUGE - I hate when I feel like I'm just drinking juice because of how sweet some shops make my bubble tea). Overall would revisit 10/10 and would bring friends.;20;8;20
/biz/grand-vin-hoboken;Grand Vin;Wine Bars,Italian,Cocktail Bars;Hoboken, NJ;Feb 10, 2022;2;Boy o boy was I disappointed with my Grand Vin experience ESPECIALLY after reading all the 4-5 star reviews about this place on Yelp! Let me back up a little and tell you my story, It was a Sunday morning and reservations were made almost two weeks in advance so when you show up you'd expect little to no wait right? RIGHT?! 40 minutes later, we were seated. Though the pictures on Yelp may make this place look pretty large, it's not. The space itself is pretty tight (think small but long) - the decor looks beautiful in the photo's but certainly would look better in dim lighting then in a bright afternoon sun. The staff was beyond rude and honestly did the minimal to check in on us after we placed our orders. We had to actually get up and flag someone down for the check. The best thing about the whole experience was the Wine Flights.;18;8;10
/biz/a-taste-of-greece-river-edge;A Taste of Greece;Greek,Desserts,Sandwiches;River Edge, NJ;Feb 5, 2022;4;"A literal hole in the wall, A Taste of Greece is such a small restaurant but whips up some delicious greek food. During COVID-19 they've switched from dine in to delivery / takeout which makes sense based on the space they have available.  I typically order the American ""Greek Staples"" a greek salad (covered in feta-deliciousness), a gyro platter, and a chicken souvlaki platter (aka chicken kabobs). All well worth it! If you live in the area and have been considering testing this kitchen out, DO IT. You can thank me later.";16;5;9
/biz/the-standard-restaurant-and-lounge-albany;The Standard Restaurant & Lounge;New American,American,Burgers;Albany, NY;Feb 1, 2022;4;When at Crossgates Mall why not treat yourself right? When you've spent a day shopping and trying / lugging around clothes why not end your trip with some good food and drinks.. The interior and vibe really reminds me of a Houlihan's (franchise that's spread throughout NJ if not other states).  My typical go to is the Spicy Buffalo Chicken Sandwich with fries accompanied by a Miller Lite. The hostesses seem less friendly then I like, but I understand when things get busy all eyes are really on them to get people seated. On the other hand the wait staff is amazing - extremely attentive. Portions are good not large, but not small - pretty perfect.;18;5;14
/biz/brueggers-bagels-pittsford-2;Bruegger's Bagels;Bagels,Breakfast & Brunch,Sandwiches;Pittsford, NY;Jan 10, 2022;3;When staying at the Hilton Garden Inn Rochester/Pittsford Bruegger's Bagels is my morning go to. No matter what day of the week it is, this place gets PACKED (whether you're trying to hit the drive through or are actually popping into the store). The bagels at Bruegger's are definitely a huge step up from chains like Dunkin - my favorite is their garlic bagel, which has some good flavoring. Coffee is also much stronger than the watered down stuff you'd get at a Dunkin.;20;6;12
/biz/tom-wahls-eastview-mall-victor-2;Tom Wahl's Eastview Mall;Burgers,Hot Dogs,American;Victor, NY;Jan 2, 2022;5;Are you at the mall right now? Is your stomach complaining about all the shopping and asking you to stop and check in? Tom Wahl's is literally my go to every time I'm in Eastview Mall - side note - I live in NJ and have never seen this franchise other then in Victor, NY. The burgers are large and filling - however if you've had Tom Wahl's and you think the burgers are too big, you can always opt for a Kiddie Burger which is an average size burger and easier to chomp down on. (Similar concept to Five Guys) Other then their delicious burgers, they have some awesome milkshakes and ice cream cones you should definitely try as well!;16;5;12
/biz/elite-check-in-week-tacoria-jersey-city-jersey-city-2;Elite Check-In Week: tacoria Jersey City;Yelp Events;Jersey City, NJ;Dec 30, 2021;5;I love a Yelp event that gives you a +1! After a long morning at Boundless Adventure my husband and I drove down to Jersey City to part take in the Elite Check-In Week @ Tacoria. Sadly parking was a little tough, but that's not too surprising for Jersey City. If you haven't visited the town before you may get a little shocked, however keep in mind Tacoria is a chain and you can visit their Montclair or Paramus location if JC is too out of reach. In Tacoria we were given one entree, one street corn, and one drink each. By the end of the meal we were both stuffed.  Personally, the drinks weren't my favorite - can you really go wrong with a classic can of coke? Oh well. The meal however, was delicious - If you're looking for fast food and want a step up from Chipotle this is it. NY has Dos Toros and NJ has Tacoria. #SOWORTHIT I ordered the Pollo Tinga burrito and my husband ordered the Pollo Tinga Burrito Box (basically a bowl) - each were large portions, so much so that neither of us finished our meal completely. The decor is so different and really is something to see. Thanks Sara & Tacoria for the check in opportunity!;12;5;13
/biz/yelp-hudson-valleys-be-brave-be-brazen-harrison;Yelp Hudson Valley's Be Brave, Be Brazen;Yelp Events;Harrison, NY;Dec 26, 2021;5;The Yelp Hudson Valley's Be Brave, Be Brazen initially scared me, but helped me take a step or rather a leap in the right direction to get over my fear of heights. Luckily this event allowed us to bring a plus one, so I wouldn't be testing my luck alone and I have to say once you've been properly hooked onto a zip-line and your flying through the air there is nothing like it. The crew was very knowledgeable, and very friendly - prior to hitting the course they help you put on all your gear and walk you through demo's of how to use them. Unfortunately throughout the course they are not following you nor available on each platform in case you get a brain fart, but if you peak down from the platform you're standing on there are numerous crew members on the floor ready to help talk you through anything.  Considering my mild fear of heights I started with a Yellow course, one of the least difficult courses as noted by the crew. What do they say? The first step is the hardest? I hooked myself up and with a team of children waiting behind me I stayed at the very edge of where I was supposed to push off  for a few moments. After the screams of children to push forward grew louder I let myself go with a scream. It was amazing - from there I had a slight hesitation throughout the course, but a love was born. Thank you boundless adventures for sharing your park with us elites. And of course thanks again to Kate for securing this opportunity for all of us to enjoy such an intense and fun adventure park.;17;6;18
/biz/boundless-adventures-purchase;Boundless Adventures;Ziplining,Challenge Courses,Team Building Activities;Purchase, NY;Dec 19, 2021;5;Boundless Adventures is SO FUN! The first time I visited was due to a Yelp Event, however from there I just kept coming back and seeking out other zip-lining courses from NJ to Kentucky.  The crew was very knowledgeable, and very friendly - prior to hitting the course they help you put on all your gear and walk you through demo's of how to use them. Unfortunately throughout the course they are not following you nor available on each platform in case you get a brain fart, but if you peak down from the platform you're standing on there are numerous crew members on the floor to help talk you through anything.  Personally I enjoyed the fact that there are different course types, instead of just one. There are 9 courses in total to choose from, including 3 yellow, 3 green, 2 blue, and 1 black course (in order of difficulty). To do the ultimate black, you need to have done a blue, and before a blue, the green. Honestly this is a great spring/summer/early fall outing for friends and families. You should see the amount of diversity in children and adults zipping around! Really a great spot for the whole family.;16;5;15
/biz/nicks-new-haven-style-pizzeria-and-bar-boca-raton;Nick's New Haven Style Pizzeria and Bar;Pizza,Bars,Italian;Boca Raton, FL;Dec 12, 2023;4;My first visit at Nicks New Haven Style Pizzeria Sunday. A pleasant experience I must say.  Service was Great, Pizza was excellent and the booth seating was comfortable.  No issues. Perfect for my friends and I. Nice Job!;16;5;13
/biz/bokafresh-boca-raton-2;Bokafresh;Chinese,Sushi Bars,Japanese;Boca Raton, FL;Dec 9, 2023;4;BokaFresh was BocaFresh on my 1st order.  My entire order was excellent. I did a delivery. All items were packed well and delivered hot.  The orange chicken & orange Beef were my favorites.  Great 1st impression.  I look forward ordering again soon.  nice job!  almost forgot . those spare ribs are a must try item. excellent!;14;7;12
/biz/fingerprints-music-long-beach;Fingerprints Music;Music & DVDs,Bookstores;Long Beach, CA;Nov 28, 2023;5;Record Store Day Black Friday 11/24/23 The Mamas and the Papas live at the Monterey Pop Festival was a special limited edition GOLD colored vinyl record made for Black Friday with only 2750 copies made worldwide. It sold out quick at all other RSD participating outlets. I was able to get a copy at Fingerprints Music. I purchased on Saturday and received on Monday in pristine condition. The fastest shipping ever and packaged up with Love. To be honest a great secure pack job. You rock!  Many thanks!;12;4;10
/biz/pera-mediterranean-brasserie-new-york;Pera Mediterranean Brasserie;Turkish,Mediterranean,Middle Eastern;Midtown East, New York;Nov 24, 2023;5;"Pera Mediterranean is your spot if you're looking for authentic Eastern Mediterranean cuisine.  My visit was perfect. The Dining room is nicely decorated. I made a reservation in the small room in the back of the restaurant. 4 tables in the room. It was perfect for conducting my business lunch. Not too loud.  My server was great. He Came around often to check on my table and refill drinks.  I started with the HUMMUS and Portuguese Fried Calamari.  The hummus was a great. Fresh made! Delicious! Served with chips.  The calamari was a winner Excellent flavor! A must try! Prepared w/ beef soujouk, sliced cherry peppers, smoked paprika yoghurt aioli, & scallions. Delicious!  For my main dish I had the SIRLOIN ""SHASHLIK"" STEAK FRITES. Perfect!delicious-steak so tender you could cut it with your fork. That tender. Great flavor! A must try choice.  48-hr marinated thin-sliced sirloin, grilled ""shashlik""style with peppers and onion, served with Mediterranean fries. Some of the best fries I have eaten, and I love fries. Great ones.  You can't go wrong at PERA. I Highly recommend this unique dining spot.";13;4;9
/biz/giovannis-pizzeria-restaurant-boca-raton-3;Giovannis Pizzeria Restaurant;Pizza;Boca Raton, FL;Oct 26, 2023;5;I Never been to the actual restaurant, but I order delivery often. I can honestly say this place is legit. Great pizza offering Chicago deep dish & NY style options. I've tried both styles and love them both.   The Hot sub sandwiches are excellent. My favorite is the Veal or chicken Parmigiana sub. Always great tasting, served on a quality toasted roll that holds up well on delivery.  I have never had an issue. My orders are always accurate, and food delivered hot.  So far so good.;20;8;13
/biz/mortons-the-steakhouse-fort-lauderdale;Morton's The Steakhouse;Steakhouses,American,Bars;Fort Lauderdale, FL;Oct 22, 2023;5;I had a great dinner at Morton's on a Saturday evening. Party of 7 @ 7 for Magic Mike our most excellent server. A Legend and an asset to the establishment. A True Gentleman!  Nothing but the best. Great Cocktails,  perfectly cooked Steaks, and excellent service. Even the Manager came around 3 times checking on our group.  That's what we all received tonight @ Morton's. Start to finish was just perfect. A great visit!  The Oysters were fresh, delicious and the right size for me. I don't like huge oysters. These  were the perfect size for me.  I ordered the 12oz. Filet (medium) and a Lobster tail with a side of asparagus and Lobster Mac and cheese. large portion of LM&C. Plenty to share. My picture may not show much lobster but when mixed up there was plenty of Lobster in this beautiful Mac & Cheese dish .  My side Asparagus was cooked perfectly. I like a slight crunch. Not overly cooked. Great flavor and a great side choice.   For the 3 hours I was here, everything was great. No issues , just fun times!;20;9;17
/biz/raising-cane-s-chicken-fingers-pompano-beach-pompano-beach;Raising Cane's Chicken Fingers;Fast Food,Chicken Shop;Pompano Beach, FL;Oct 21, 2023;3;I'll give credit where credit is due. Came again and ordered the same Canniac combo and it was Not salty like my first visit. I will say the drive thru was packed. 17 minutes in & out. I'll be back!;17;6;8
/biz/paradise-tiki-of-dania-beach-dania-beach-2;Paradise Tiki of Dania Beach;Tiki Bars,Burgers,Sandwiches;Dania Beach, FL;Oct 15, 2023;4;What you'l find here is a laid back Tiki bar on a canal behind a boat storage facility. Definitely a hidden gem. My Visit was great except those scraps of burnt waffle fries they serve.  Horrible! This aside I had great service provided by Keri and a great tasting sesame tuna sandwich prepared rare.  It's was delicious served with red onion, Heirloom tomato, Boston lettuce , grilled pineapple, avocado and teriyaki sauce.  I'll be back just for this delicious sandwich.  My Grandson had a plain cheeseburger and mentioned it was excellent. He mentioned the same with his fries. Embarrassing!  Come check them out. It's a unique spot worth trying.;17;8;15
/biz/city-furniture-bocaraton;CITY Furniture;Furniture Stores,Mattresses;Boca Raton, FL;Oct 12, 2023;5;Received VIP service from Hector and Alex on a recent visit to City Furniture. Purchased a 9 piece living room leather sectional set with end tables and Lamp.  City Furniture provided safe on time delivery. Complete set up and removal of boxing materials.  Overall my expectations were met. Great quality and very comfortable furniture. It's been almost a month now enjoying  my new furniture with no issues. Great quality. Service was amazing.;14;6;11
/biz/won-tom-s-deerfield-beach;Won-Tom’s;Dim Sum;Deerfield Beach, FL;Sep 14, 2023;4;Delivery order review. Great packaging, food delivered warm and fresh and quickly. My order included the Thai Spicy salad with beef. wow! It was excellent. Tender beef with Cabbage, tomato, cucumber,red onion, lime, ginger, peanuts, chili cilantro, garlic, and fish sauce. A great salad! A winner for me.  Korean Fried Chicken was cooked well. Great flavor, tender Boneless chicken. Included were 3 great sauces, Honey garlic, sweet chili, and Yuzu Ranch. I loved them all.   Great first impression on the food items I ordered. I look forward to an on-site visit soon. Nice Job!;10;5;10
/biz/china-blue-pasay;China Blue;Chinese;Pasay City, Pasay;Jul 31, 2023;5;VIP experience!  Thank you Joshua P. & Jeanne. You're an asset to the establishment. Nice job! I had 16 in my party and everyone had a wonderful experience. Food was delicious and unique! Service was amazing!  Whatever we needed the team was standing by to assist quickly.  Dining room is very clean and beautifully decorated . A beautiful layout I must say.  Overall this is an award winning VIP restaurant experience. You can't go wrong;21;8;20
/biz/devils-den-prehistoric-spring-williston-2;Devil's Den Prehistoric Spring;Scuba Diving,Snorkeling;Williston, FL;Jul 30, 2023;5;If you're checking out Devils Den online for an Adventure, all I can say is you have to come see for yourself. An amazing experience! Easy reservation online and check in day of visit was painless. World class excitement! Staff was informative. They rent gear onsite if you don't have your own. For a great price you get 90 minutes diving or snorkeling in the den. No swimming. Ice cold water at 9:00am in July when the outside temp is 90+. Something special.  It was cold. They have 4 rental cabins, Tent & RV rentals on the property.   It was something I always wanted to do and I was not disappointed. Worth doing a road trip to experience the fun adventure;23;8;19
/biz/siesta-sands-on-the-beach-sarasota;Siesta Sands On the Beach;Vacation Rentals;Sarasota, FL;Jul 30, 2023;5;I have never been to Siesta Key and I was simply passing through on a weeks trip headed south home and Thought Siesta Key would be a great spot to lay low for the night.  Wow was I Lucky! Siesta Key and Siesta Sands On The Beach Hit all the marks for me. Great Beach, excellent clean Motel, & great Food & cocktails nearby. A Very short walk away from the Motel.  The Motel is Literally On the beach & a short walk to the village where all the action is. I enjoyed a Clean spotless room with excellent hospitality. Easy check in & check out.  It was a beautiful stay.  The softest Beach sand I ever walked on. White powder! For that you have to come visit.  For all future Siesta Key visits , Siesta Sands on the Beach will be my home base. It's was that great! Check them out!;23;8;18
/biz/todays-meal-dublin;Today's Meal;Specialty Food,Food Delivery Services;Dublin, CA;Jul 30, 2023;5;Where I post my most excellent made meals. Only the Good stuff! Cheers!  The spot to post your delights! Everything is 5 stars or no need to post. Gracias!;20;8;16
/biz/siesta-key-oyster-bar-sarasota;Siesta Key Oyster Bar;Seafood,Sports Bars,Music Venues;Sarasota, FL;Jul 30, 2023;5;SKOB @ Siesta Key Village is a local Hot Spot. A dive bar while keeping it classy.  Excellent specialty cocktails, cold craft beers. 21 different kinds I believe.  Menu is fresh with local seafood, excellent crab cakes, oysters and so much more. Even natural burgers!  I went with the scallops! Excellent! Fresh and delicious. I Highly recommend this dish like my server did with me. You'll love it.  There is something for everyone on the menu. live music every day and fun times. That's what they serve up.  Come stop by for a cold beverage, laid back atmosphere and excellent food and service.;15;7;14
/biz/papas-raw-bar-lighthouse-point;Papa's Raw Bar;Seafood,Sushi Bars,Japanese;Lighthouse Point, FL;Jul 29, 2023;5;I Love Papas!  A Lighthouse Point landmark!  Excellent craft beers, cocktails & delicious fresh seafood.  Floridas finest!  A Local Hot spot!  The Food & Cocktail Fun Zone! Come check them out!;15;6;12
/biz/meat-eatery-and-taproom-boca-raton-2;MEAT Eatery And Taproom;Burgers,Beer, Wine & Spirits,Chicken Wings;Boca Raton, FL;Jul 29, 2023;5;Great visit!  I sat at the bar and received excellent service from Julie and enjoyed Ice cold craft beer and award winning burgers. What more do you need. A Great Visit!  The inside - Out Juicy Lucy was my choice.   A great choice I must say!  A Delicious Juicy Masterpiece. Juice was dripping all over. Good thing  for the Napkin Box arms distance away.  Definitely an Award Winning Burger!  Meat Eatery and Taproom hit all the marks I look for when I'm out and about in the moment looking for a great spot to dine.  Featured on Diner Drive Ins and Dives. Come check them out.;18;7;15
/biz/spurriers-gridiron-grille-gainesville-2;Spurrier's Gridiron Grille;American,Bars;Gainesville, FL;Jul 23, 2023;5;I stopped in for bar service only and was treated like a VIP by the Mixologists.  Beautiful establishment! Clean! Decorated nicely! Part Restaurant, Part Football Museum.  Lots to experience! Lots to see!  Drink of choice was the Spicy Succulent and I kept the same for a few more.  A great drink! Prepared with Lugos Pitorro Rum, Aloe Chareau, Lemon, Agave, Jalapeño, Cucumber & Basil. An Award winning Cocktail!  I'm definitely coming Back next time I'm in the area and will dine in for the full experience. Come check out Spurriers. Can't wait!;15;7;13
/biz/relish-big-tasty-burgers-archer-road-gainesville;Relish Big Tasty Burgers - Archer Road;Burgers,Beer Bar;Gainesville, FL;Jul 23, 2023;4;First time at Relish and I had a great experience. Upon entering, walk up to the register, put your order in, Give your name, They cook & call you up to pick what you want added to your order. Like Subway!  Nice concept!  I ordered the DOUBLE TASTY 1/2 Pound Certified Angus Beef patty with a slice of Pineapple with Teriyaki sauce. Great flavor! Juicy burger on a fresh roll. Perfect for me.  A Delicious masterpiece! I had a great local Craft beer & was handed a Relish Koozie at no charge. Nice touch! They even have their name on the Napkins.  Relish is the spot for a great burger experience. Come and check them out. I'm sure you will like.  My visit was so successful, I decided to order A CRISPY CHICKEN SANDWICH with pineapple and teriyaki sauce Togo. I figured it would hold up well hours later back at my Hotel. It was Delicious!;13;7;12
